state,unemployment_percentage,,source: http://www.bls.gov/web/laus/laumstrk.htm
Nebraska,2.5,,
North Dakota,3.1,,
Utah,3.4,,
South Dakota,3.6,,
Vermont,3.6,,
Minnesota,3.7,,
Idaho,3.8,,
Iowa,3.8,,
New Hampshire,3.8,,
Montana,4,,
Hawaii,4.1,,
Oklahoma,4.1,,
Wyoming,4.1,,
Colorado,4.2,,
Texas,4.2,,
Kansas,4.3,,
Wisconsin,4.4,,
Delaware,4.5,,
Maine,4.7,,
Massachusetts,4.7,,
Virginia,4.8,,
Kentucky,5,,
Ohio,5.2,,
Oregon,5.2,,
Maryland,5.3,,
Pennsylvania,5.3,,
Indiana,5.4,,
Michigan,5.4,,
North Carolina,5.5,,
Washington,5.5,,
Florida,5.6,,
Arkansas,5.7,,
Missouri,5.7,,
New York,5.7,,
Alabama,5.8,,
Arizona,6,,
Illinois,6,,
Tennessee,6,,
Rhode Island,6.1,,
New Mexico,6.2,,
California,6.3,,
Connecticut,6.3,,
Georgia,6.3,,
New Jersey,6.5,,
Louisiana,6.6,,
Mississippi,6.6,,
Alaska,6.7,,
South Carolina,6.7,,
West Virginia,7,,
Nevada,7.1,,
District Of Columbia,7.5,,